po_number,vendor,order_date,po_quantity,po_unit_price,approved_by,promised_delivery_date
PO1000,Pioneer Logistics,29/01/2026,22,149.6,Mateo García,10/02/2026
PO1001,Flow Freight,27/01/2026,356,149.43,Pavel Horák,03/02/2026
PO1002,Orion Business Services,19/04/2026,26,10.81,Sofia Rossi,01/05/2026
PO1003,Apex Distribution,07/01/2026,297,43.77,Katarina Jovanović,25/01/2026
PO1004,Anchor,25/04/2026,311,59.25,J. Kovacs,05/05/2026
PO1005,IronGate Engineering,19/04/2026,184,59.18,Sofia Rossi,04/05/2026
PO1006,Apex More,24/01/2026,204,23.86,Jakub Novák,06/02/2026
PO1007,BlueLine Logistics,28/04/2026,284,29.34,Laura Schmidt,05/05/2026
PO1008,Helix Innovations,17/03/2026,434,127.58,Jakub Novák,28/03/2026
PO1009,ClearPath Solutions,18/01/2026,33,133.95,Eva Andersson,01/02/2026
PO1010,Zenith Freight,01/03/2026,453,24.7,Anna Kowalska,20/03/2026
PO1011,Pioneer Logistics,04/04/2026,93,77.19,Sofia Rossi,17/04/2026
PO1012,IronGate Engineering,19/01/2026,321,128.82,,31/01/2026
PO1013,Swiftstream Logistics,29/04/2026,204,57.64,Katarina Jovanović,11/05/2026
PO1014,Vantage Partners,25/03/2026,441,154.82,A. Nagy,06/04/2026
PO1015,BlueLine Logistics,22/03/2026,215,57.21,Sofia Rossi,06/04/2026
PO1016,Wayfinder Logistics,08/05/2026,212,177.51,Katarina Jovanović,27/05/2026
PO1017,Vectra Movers,09/03/2026,81,53.09,Pavel Horák,22/03/2026
PO1018,OmegaTech Europe,30/05/2026,229,180.08,Laura Schmidt,15/06/2026
PO1019,Anchor,05/02/2026,270,101.24,Eva Andersson,11/02/2026
PO1020,Shift Cargo,09/02/2026,331,36.2,Felix Bauer,27/02/2026
PO1021,Everest Trading Co.,17/01/2026,207,79.42,Ingrid Hansen,07/02/2026
PO1022,Steadfast,22/05/2026,450,188.77,Felix Bauer,30/05/2026
PO1023,Vantage Partners,18/05/2026,394,57.03,Katarina Jovanović,02/06/2026
PO1024,Shift Cargo,17/03/2026,232,35.84,J. Kovacs,30/03/2026
PO1025,Apex Distribution,15/02/2026,269,182.96,Katarina Jovanović,01/03/2026
PO1026,Pioneer Logistics,10/05/2026,321,43.79,Jakub Novák,20/05/2026
PO1027,FusionWorks Europe,16/05/2026,480,5.11,Elena Petrova,05/06/2026
PO1028,Nordic Freight,29/01/2026,485,75.78,Nicolas Dubois,10/02/2026
PO1029,SameDay,03/03/2026,459,115.63,Camila Cantrell,10/03/2026
PO1030,WestBridge Suppliers,05/05/2026,427,18.5,Eva Andersson,14/05/2026
PO1031,Flow Freight,02/05/2026,494,112.21,Anna Kowalska,23/05/2026
PO1032,Everest Trading Co.,19/04/2026,118,186.14,Eva Andersson,30/04/2026
PO1033,ClearPath Solutions,21/03/2026,214,199.05,Katarina Jovanović,06/04/2026
PO1034,NovaEdge Services,13/05/2026,241,28.6,Mateo García,20/05/2026
PO1035,BlueRiver Logistics,06/01/2026,311,113.01,Emma Johansson,18/01/2026
PO1036,Acme Supplies,19/01/2026,372,128.07,Mateo García,26/01/2026
PO1037,BlueLine Logistics,26/03/2026,46,105.26,Anna Kowalska,15/04/2026
PO1038,Wayfinder Logistics,19/05/2026,77,146.05,Emma Johansson,08/06/2026
PO1039,Pinnacle,02/05/2026,423,84.38,Haley Rivas,10/05/2026
PO1040,Skyline Equipment,21/04/2026,191,87.6,Ingrid Hansen,27/04/2026
PO1041,Vantage Partners,26/01/2026,41,83.51,Elena Petrova,03/02/2026
PO1042,Pinnacle,19/02/2026,107,109.58,Winter Underwood,09/03/2026
PO1043,Quantum Express,13/03/2026,246,53.71,Camila Cantrell,01/04/2026
PO1044,Helix Innovations,26/01/2026,35,132.17,Pavel Horák,31/01/2026
PO1045,Zenith Freight,02/03/2026,95,84.25,Andreas Weber,13/03/2026
PO1046,GlobalTrade Europe,16/01/2026,94,78.9,Laura Schmidt,29/01/2026
PO1047,Titan Machinery Group,15/03/2026,226,140.84,Victor Popescu,04/04/2026
PO1048,Vectra Movers,18/02/2026,161,47.45,A. Nagy,24/02/2026
PO1049,OmegaTech Europe,22/03/2026,39,14.78,Andreas Weber,12/04/2026
PO1050,Continental Solutions,10/02/2026,39,192.35,Camila Cantrell,20/02/2026
PO1051,Mustang101,18/01/2026,355,173.05,Laura Schmidt,26/01/2026
PO1052,DeltaPro Industries,05/03/2026,306,120.93,Thomas Lefèvre,12/03/2026
PO1053,PrimeLine Manufacturing,30/05/2026,299,106.94,Anna Kowalska,10/06/2026
PO1054,Skyline Equipment,22/03/2026,132,56.79,Winter Underwood,05/04/2026
PO1055,Titan Machinery Group,22/03/2026,485,151.61,Camila Cantrell,27/03/2026
PO1056,Titan Machinery Group,25/05/2026,61,19.29,Sofia Rossi,15/06/2026
PO1057,Steadfast,03/02/2026,487,73.06,Camila Cantrell,15/02/2026
